game_id,game_name,name_in_vg,estimated_revenue,estimated_units_sold,number_of_reviews,steam_rating
1444890,Crazy Mafioso,Crazy Mafioso,461,450,15,0.867
1217340,Anime Studio Tycoon,Anime Studio Tycoon,7,1,34,0.588
872340,Bunny Battle Arena,Bunny Battle Arena,1,262,7,0.7140000000000001
439460,Ships 2017,Ships 2017,94,9,179,0.358
1308880,FORECLOSED,FORECLOSED,27,2,87,0.621
296650,The Great Jitters: Pudding Panic,The Great Jitters: Pudding Panic,18,4,72,0.653
1549420,メンヘラフレシア　フラワリングアビス,メンヘラフレシア　フラワリングアビス,10,810,27,0.963
418270,Draw Slasher,Draw Slasher,72,48,831,0.505
390220,Toilet Tycoon,Toilet Tycoon,24,7,164,0.7070000000000001
549860,One Night Stand,One Night Stand,73,33,633,0.893
612380,Cryptocracy,Cryptocracy,1,400,8,0.625
1559340,Qubie: Invader of Worlds,NULL,NULL,NULL,NULL,NULL
1632640,Bouncing Traveler,Bouncing Traveler,2,420,14,0.643
350480,Tales of Cosmos,Tales of Cosmos,16,1,51,0.843
220900,Jack Lumber,Jack Lumber,209000,62,354,0.636
539090,Clazer,Clazer,20,960,31,0.742
1852760,Memory Puzzle - Sexy Fairies,Memory Puzzle - Sexy Fairies,196,180,6,0.33299999999999996
809890,Shining Resonance Refrain,Shining Resonance Refrain,926000,35,1165,0.708
570770,古剑奇谭二(GuJian2),古剑奇谭二(GuJian2),764000,73,2472,0.7759999999999999
448500,Little Walker,Little Walker,36,12,37,0.946
854160,Dino Dawn,Dino Dawn,12,1,44,0.25
1359170,Killer Dog,Killer Dog,924,360,12,0.75
897010,Surface: Return to Another World Collector's Edition,Surface: Return to Another World Collector's Edition,592,62,2,1.0
1607870,Cub Gym,Cub Gym,126,30,1,1.0
553260,Realpolitiks,Realpolitiks,812000,50,1119,0.619
453130,Powargrid,Powargrid,16,2,32,0.8440000000000001
1508890,Desirable: Dream Hotel,Desirable: Dream Hotel,324,270,9,0.556
3010,Xpand Rally,Xpand Rally,58,20,416,0.8079999999999999
1217830,Khimera: Puzzle Island,Khimera: Puzzle Island,28,4,166,0.97
628830,Ultra Hat Dimension,Ultra Hat Dimension,2,720,24,1.0
686440,Hard Time,Hard Time,28,7,225,0.88
521710,Romance of the Three Kingdoms III,Romance of the Three Kingdoms III,10,720,19,0.474
1259660,NETABOKU -A robot girl changes my life as a bedridden boy-,NETABOKU -A robot girl changes my life as a bedridden boy-,540,90,3,1.0
108200,Ticket to Ride,Ticket to Ride,3600000,539000,4729,0.9079999999999999
614150,Train Harder,Train Harder,2,478,10,1.0
1630940,HUMBLE ZOMBIE,HUMBLE ZOMBIE,300,240,8,0.875
878520,Sally's Salon: Kiss & Make-Up,Sally's Salon: Kiss & Make-Up,27,3,99,0.6970000000000001
1927300,Yin Yang Space,Yin Yang Space,0,0,0,0.0
340630,Ninja Guy,Ninja Guy,8,5,163,0.264
619150,while True: learn(),while True: learn(),2000000,217000,6368,0.919
1373890,Fight N' Fall,Fight N' Fall,480,60,1,1.0
1869200,The Adventures of Mr. Hat,The Adventures of Mr. Hat,1,510,17,1.0
392030,Murasaki,Murasaki,18,5,103,0.9129999999999999
441670,Jelly Killer,Jelly Killer,50,19,328,0.7929999999999999
962150,Tactics V: Obsidian Brigade,NULL,NULL,NULL,NULL,NULL
50990,Mystery Case Files: Ravenhearst®,NULL,NULL,NULL,NULL,NULL
648510,Choice of the Star Captain,Choice of the Star Captain,1,505,11,0.727
1071070,Adventure of Great Wolf,Adventure of Great Wolf,126,60,2,1.0
1761740,My Cashy Side Job at Lost&Found in the Subway of Million-Person City,My Cashy Side Job at Lost&Found in the Subway of Million-Person City,2,1,35,0.7709999999999999
538700,TURGUL: RAPID FIGHTING,TURGUL: RAPID FIGHTING,506,153,3,0.33299999999999996
1564150,Lost in Blindness,Lost in Blindness,12,840,28,0.9640000000000001
726870,Anchorhead,Anchorhead,6,894,39,0.897
1074390,Scikor - Final Scale,NULL,NULL,NULL,NULL,NULL
1554780,Trekking and Camping | 远足与露营,Trekking and Camping | 远足与露营,852,600,20,0.85
1321040,Memory Note,Memory note,2,1,59,0.983
1204930,Hop Step Sing! Astral Piece,Hop Step Sing! Astral Piece,18,2,84,1.0
1588760,Switchball HD - Puzzle Platformer,NULL,NULL,NULL,NULL,NULL
924740,Beyond Senses,Beyond Senses,10,1,39,0.564
416340,Viking Saga: New World,Viking Saga: New World,4,1,31,0.8390000000000001
1168980,Buried Alive: The Annihilation VR,Buried Alive: The Annihilation VR,5,630,21,0.28600000000000003
1277340,Sunset fighter,Sunset fighter,312,60,2,1.0
1233610,Tactical Warfare Simulator,Tactical Warfare Simulator,6,180,6,0.16699999999999998
302610,Boson X,Boson X,170000,91,1552,0.925
1638730,Bear Soul,Bear Soul,0,0,0,0.0
1484150,VR Museum Tour Grand Collection,VR Museum Tour Grand Collection,390,120,4,0.5
922520,Blood City,Blood City,1,724,19,1.0
1157200,Magnesium_173,Magnesium_173,1,150,4,1.0
1862100,Quest for Cathay Kingdom Mah Jong,NULL,NULL,NULL,NULL,NULL
